"Test Type","Compression"
"Method Name:","C:\INSTRON\USER\TEMPLATE\Andyscomp.mtB"
"Name:","Transnet Compression Tests"
"Operator ID:","AndyS"
"Company:","IRL"
"Lab name:","Rm 3.09"
"Test date:","25/08/08"
"Temperature:","20.5"
"Humidity:","57.5"
"Note 1:","Plastic Telegraph Pole Breast and Heel Plate Tests"
"Note 2:",""
"Note 3:",""
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","A1"
"Width:",342.000000,"mm"
"Thickness:",446.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",152532.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Comment:","Transnet Small Rectangular Sample"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
0,-111.746,-0.01364514,-9.523174,6.243394e-005,0,0,0.001364514,0.01364514,0.01364607,9.523173,62.42542
1,-111.7623,-0.01302306,-8.827186,5.787104e-005,0,0,0.001302306,0.01302306,0.0130239,8.827186,57.86351
2,-111.7792,-0.01326233,-9.296416,6.094732e-005,0,0,0.001326233,0.01326233,0.01326321,9.296416,60.93923
3,-111.7959,-0.01318257,-9.421152,6.176509e-005,0,0,0.001318257,0.01318257,0.01318344,9.421152,61.75694
4,-111.8126,-0.01299117,-9.653981,6.32915e-005,0,0,0.001299117,0.01299117,0.01299201,9.65398,63.28328
5,-111.8293,-0.01354944,-10.42389,6.833904e-005,0,0,0.001354944,0.01354944,0.01355036,10.42389,68.32978
6,-111.8459,-0.01343779,-11.22787,7.360995e-005,0,0,0.001343779,0.01343779,0.0134387,11.22787,73.60005
7,-111.8627,-0.01295924,-10.90839,7.151545e-005,0,0,0.001295924,0.01295924,0.01296008,10.90839,71.50618
8,-111.8793,-0.01342185,-11.17089,7.323636e-005,0,0,0.001342185,0.01342185,0.01342275,11.17089,73.22653
9,-111.896,-0.01321446,-18.28458,0.0001198738,0,0,0.001321446,0.01321446,0.01321533,18.28458,119.8579
10,-111.9126,-0.01337398,-34.15343,0.0002239099,0,0,0.001337398,0.01337398,0.01337487,34.15343,223.88
11,-111.9293,-0.01343779,-51.82199,0.000339745,0,0,0.001343779,0.01343779,0.0134387,51.82199,339.6994
12,-111.9459,-0.01334209,-71.08877,0.0004660581,0,0,0.001334209,0.01334209,0.01334298,71.08877,465.9959
13,-111.9626,-0.01326233,-89.56709,0.000587202,0,0,0.001326233,0.01326233,0.01326321,89.56709,587.1241
14,-111.9792,-0.01338992,-102.1401,0.0006696307,0,0,0.001338992,0.01338992,0.01339082,102.1401,669.5411
15,-111.996,-0.01329422,-113.2622,0.0007425469,0,0,0.001329422,0.01329422,0.0132951,113.2622,742.4482
16,-112.0127,-0.01308687,-125.22,0.0008209423,0,0,0.001308687,0.01308687,0.01308773,125.22,820.8348
