   
   
   
"Disp (mm)" "Load (kN)" " d (raw)" "f (raw)"
0.0000 0 0 0.31
0.0163 0.0007 0.0163 0.3120
0.0333 0.0009 0.0333 0.3122
0.0500 0.0012 0.0500 0.3125
0.0667 0.0012 0.0667 0.3125
0.0833 0.0015 0.0833 0.3128
0.1000 0.0015 0.1000 0.3129
0.1166 0.0017 0.1166 0.3131
0.1333 0.0032 0.1333 0.3145
0.1500 0.0069 0.1500 0.3183
0.1667 0.0212 0.1667 0.3325
0.1834 0.0366 0.1834 0.3479
0.2001 0.0536 0.2001 0.3649
0.2167 0.0697 0.2167 0.3811
0.2333 0.0879 0.2333 0.3992
0.2500 0.1051 0.2500 0.4164
0.2667 0.1226 0.2667 0.4339
0.2833 0.1402 0.2833 0.4515
0.3001 0.1580 0.3001 0.4693
0.3167 0.1754 0.3167 0.4867
0.3334 0.1935 0.3334 0.5048
0.3500 0.2101 0.3500 0.5214
0.3667 0.2283 0.3667 0.5396
0.3833 0.2462 0.3833 0.5575
0.4000 0.2649 0.4000 0.5762
0.4166 0.2842 0.4166 0.5955
0.4334 0.3046 0.4334 0.6159
0.4500 0.3259 0.4500 0.6373
0.4667 0.3483 0.4667 0.6597
0.4834 0.3709 0.4834 0.6822
0.5000 0.3943 0.5000 0.7056
0.5167 0.4185 0.5167 0.7298
0.5334 0.4445 0.5334 0.7558
0.5500 0.4714 0.5500 0.7827
0.5667 0.4989 0.5667 0.8102
0.5834 0.5264 0.5834 0.8377
0.6000 0.5544 0.6000 0.8657
0.6167 0.5817 0.6167 0.8930
0.6334 0.6105 0.6334 0.9218
0.6500 0.6397 0.6500 0.9510
0.6666 0.6688 0.6666 0.9801
0.6833 0.6992 0.6833 1.0105
0.7001 0.7310 0.7001 1.0423
0.7167 0.7612 0.7167 1.0726
0.7334 0.7941 0.7334 1.1054
0.7500 0.8258 0.7500 1.1371
0.7667 0.8584 0.7667 1.1697
0.7833 0.8907 0.7833 1.2020
0.8000 0.9230 0.8000 1.2343
0.8167 0.9566 0.8167 1.2679
0.8334 0.9894 0.8334 1.3007
0.8501 1.0238 0.8501 1.3352
0.8667 1.0572 0.8667 1.3685
0.8834 1.0918 0.8834 1.4031
0.9000 1.1253 0.9000 1.4366
0.9166 1.1604 0.9166 1.4717
0.9333 1.1954 0.9333 1.5067
0.9500 1.2300 0.9500 1.5413
0.9667 1.2665 0.9667 1.5779
0.9834 1.3025 0.9834 1.6138
1.0000 1.3403 1.0000 1.6517
1.0167 1.3780 1.0167 1.6893
1.0334 1.4156 1.0334 1.7269
1.0500 1.4549 1.0500 1.7662
1.0667 1.4935 1.0667 1.8048
1.0834 1.5319 1.0834 1.8432
1.1000 1.5706 1.1000 1.8819
