"Test Type","Compression"
"Method Name:","C:\INSTRON\USER\TEMPLATE\Andyscomp.mtB"
"Name:","Transnet Compression Tests"
"Operator ID:","AndyS"
"Company:","IRL"
"Lab name:","Rm 3.09"
"Test date:","25/08/08"
"Temperature:","20.5"
"Humidity:","57.5"
"Note 1:","Plastic Telegraph Pole Breast and Heel Plate Tests"
"Note 2:",""
"Note 3:",""
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","A1Cycle"
"Width:",342.000000,"mm"
"Thickness:",446.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",152532.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Comment:","Transnet Small Rectangular Sample"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
0,0,-0.01661208,-311.3174,0.002040997,0,0,0.001661208,0.01661208,0.01661345,311.3174,2040.658
1,-0.01628,-0.01638874,-312.0013,0.002045481,0,0,0.001638874,0.01638874,0.01639009,312.0013,2045.146
2,-0.03331999,-0.01659613,-312.2081,0.002046837,0,0,0.001659613,0.01659613,0.01659751,312.2081,2046.497
3,-0.04995999,-0.01662802,-312.482,0.002048632,0,0,0.001662802,0.01662802,0.0166294,312.482,2048.292
4,-0.06671999,-0.01650043,-312.502,0.002048763,0,0,0.001650043,0.01650043,0.01650179,312.502,2048.425
5,-0.08331998,-0.01670778,-312.829,0.002050907,0,0,0.001670778,0.01670778,0.01670917,312.829,2050.564
6,-0.09995998,-0.01678754,-312.8672,0.002051158,0,0,0.001678754,0.01678754,0.01678895,312.8672,2050.813
7,-0.11664,-0.01650043,-313.0516,0.002052366,0,0,0.001650043,0.01650043,0.01650179,313.0515,2052.028
8,-0.13332,-0.01651637,-314.5271,0.00206204,0,0,0.001651637,0.01651637,0.01651774,314.5271,2061.7
9,-0.15,-0.01699489,-318.2556,0.002086484,0,0,0.001699489,0.01699489,0.01699633,318.2556,2086.13
