"Test Type","Compression"
"Temperature:","20.5"
"Humidity:","57.5"
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","B1 "
"Width:",342.000000,"mm"
"Thickness:",448.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",153216.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
0,-1.25264,-0.02133362,-67.21292,0.0004386808,0,0,0.002133362,0.02133362,0.0213359,67.21291,438.5872
1,-1.26676,-0.02133362,-87.93928,0.0005739562,0,0,0.002133362,0.02133362,0.0213359,87.93928,573.8338
2,-1.28576,-0.02142932,-124.0817,0.0008098479,0,0,0.002142932,0.02142932,0.02143162,124.0817,809.6743
3,-1.30256,-0.02141338,-151.3045,0.0009875244,0,0,0.002141338,0.02141338,0.02141567,151.3045,987.3129
4,-1.31916,-0.02125386,-178.0702,0.001162217,0,0,0.002125386,0.02125386,0.02125612,178.0703,1161.97
5,-1.33596,-0.02122197,-204.3556,0.001333774,0,0,0.002122197,0.02122197,0.02122422,204.3556,1333.491
6,-1.35248,-0.02163671,-230.003,0.001501168,0,0,0.002163671,0.02163671,0.02163905,230.003,1500.843
7,-1.36916,-0.02144527,-252.1112,0.001645462,0,0,0.002144527,0.02144527,0.02144757,252.1112,1645.109
8,-1.38584,-0.02130173,-273.0747,0.001782286,0,0,0.002130173,0.02130173,0.021304,273.0747,1781.906
9,-1.4024,-0.02139743,-291.8322,0.001904711,0,0,0.002139743,0.02139743,0.02139972,291.8322,1904.303
10,-1.4194,-0.02139743,-309.8365,0.00202222,0,0,0.002139743,0.02139743,0.02139972,309.8365,2021.788
11,-1.43596,-0.02112627,-310.1032,0.002023961,0,0,0.002112627,0.02112627,0.0211285,310.1032,2023.533
12,-1.45248,-0.02082318,-310.0075,0.002023336,0,0,0.002082318,0.02082318,0.02082535,310.0074,2022.915
13,-1.46928,-0.02130173,-310.3758,0.00202574,0,0,0.002130173,0.02130173,0.021304,310.3758,2025.308
14,-1.4858,-0.02170049,-310.739,0.002028111,0,0,0.002170049,0.02170049,0.02170284,310.739,2027.671
15,-1.50248,-0.0216686,-310.8794,0.002029027,0,0,0.00216686,0.0216686,0.02167095,310.8794,2028.588
16,-1.51932,-0.02144527,-311.0959,0.00203044,0,0,0.002144527,0.02144527,0.02144757,311.0959,2030.005
17,-1.53564,-0.02133362,-311.2891,0.002031701,0,0,0.002133362,0.02133362,0.0213359,311.2891,2031.267
18,-1.55248,-0.02112627,-312.3397,0.002038558,0,0,0.002112627,0.02112627,0.0211285,312.3397,2038.127
19,-1.5694,-0.02085511,-311.392,0.002032372,0,0,0.002085511,0.02085511,0.02085728,311.392,2031.949
20,-1.58592,-0.02077535,-312.0268,0.002036516,0,0,0.002077535,0.02077535,0.02077751,312.0268,2036.093
21,-1.60248,-0.0210784,-312.3762,0.002038796,0,0,0.00210784,0.0210784,0.02108062,312.3762,2038.366
22,-1.6192,-0.02114221,-312.2419,0.00203792,0,0,0.002114221,0.02114221,0.02114445,312.2419,2037.489
23,-1.63584,-0.02115816,-311.6998,0.002034381,0,0,0.002115816,0.02115816,0.0211604,311.6998,2033.951
24,-1.65264,-0.02126981,-312.6871,0.002040826,0,0,0.002126981,0.02126981,0.02127207,312.6871,2040.391
25,-1.66912,-0.02133362,-312.3051,0.002038332,0,0,0.002133362,0.02133362,0.0213359,312.3051,2037.897
26,-1.68596,-0.02088699,-313.1268,0.002043695,0,0,0.002088699,0.02088699,0.02088918,313.1268,2043.269
27,-1.70272,-0.02119008,-316.6828,0.002066904,0,0,0.002119008,0.02119008,0.02119233,316.6828,2066.466
28,-1.719,-0.02125386,-328.7246,0.002145498,0,0,0.002125386,0.02125386,0.02125612,328.7246,2145.042
29,-1.73576,-0.02104651,-353.1218,0.002304732,0,0,0.002104651,0.02104651,0.02104873,353.1218,2304.247
30,-1.75256,-0.02095081,-378.2368,0.002468651,0,0,0.002095081,0.02095081,0.020953,378.2368,2468.134
31,-1.76912,-0.02130173,-402.5016,0.00262702,0,0,0.002130173,0.02130173,0.021304,402.5016,2626.461
32,-1.78592,-0.02090294,-428.3967,0.002796031,0,0,0.002090294,0.02090294,0.02090512,428.3967,2795.447
33,-1.80248,-0.02126981,-454.1168,0.002963899,0,0,0.002126981,0.02126981,0.02127207,454.1168,2963.269
34,-1.81904,-0.02125386,-479.1975,0.003127594,0,0,0.002125386,0.02125386,0.02125612,479.1975,3126.93
35,-1.83604,-0.02139743,-506.8289,0.003307937,0,0,0.002139743,0.02139743,0.02139972,506.8289,3307.229
36,-1.85244,-0.02142932,-532.379,0.003474696,0,0,0.002142932,0.02142932,0.02143162,532.379,3473.952
37,-1.86924,-0.02114221,-558.9002,0.003647793,0,0,0.002114221,0.02114221,0.02114445,558.9002,3647.022
38,-1.88596,-0.0209827,-586.5958,0.003828554,0,0,0.00209827,0.0209827,0.0209849,586.5958,3827.751
39,-1.90232,-0.02104651,-612.5004,0.003997627,0,0,0.002104651,0.02104651,0.02104873,612.5004,3996.786
40,-1.91932,-0.02114221,-639.1017,0.004171246,0,0,0.002114221,0.02114221,0.02114445,639.1017,4170.364
41,-1.93584,-0.02111033,-665.9466,0.004346456,0,0,0.002111033,0.02111033,0.02111255,665.9467,4345.539
42,-1.95216,-0.02104651,-691.7787,0.004515056,0,0,0.002104651,0.02104651,0.02104873,691.7787,4514.105
43,-1.96928,-0.0211741,-718.4933,0.004689415,0,0,0.00211741,0.0211741,0.02117634,718.4933,4688.422
44,-1.98572,-0.0215729,-743.6069,0.004853324,0,0,0.00215729,0.0215729,0.02157522,743.6069,4852.277
45,-2.00252,-0.0209827,-770.312,0.005027621,0,0,0.00209827,0.0209827,0.0209849,770.312,5026.566
46,-2.0192,-0.02125386,-797.4559,0.005204782,0,0,0.002125386,0.02125386,0.02125612,797.4559,5203.676
47,-2.0356,-0.02133362,-822.9416,0.00537112,0,0,0.002133362,0.02133362,0.0213359,822.9416,5369.975
48,-2.05248,-0.02088699,-851.8738,0.005559953,0,0,0.002088699,0.02088699,0.02088918,851.8738,5558.792
49,-2.06932,-0.02088699,-878.8558,0.005736057,0,0,0.002088699,0.02088699,0.02088918,878.8558,5734.859
50,-2.08588,-0.02122197,-907.0681,0.005920192,0,0,0.002122197,0.02122197,0.02122422,907.0681,5918.936
51,-2.10248,-0.02088699,-935.2702,0.006104259,0,0,0.002088699,0.02088699,0.02088918,935.2701,6102.984
52,-2.11888,-0.02120603,-962.3207,0.006280811,0,0,0.002120603,0.02120603,0.02120828,962.3207,6279.479
53,-2.13564,-0.0211741,-990.727,0.006466211,0,0,0.00211741,0.0211741,0.02117634,990.727,6464.842
54,-2.15276,-0.02119008,-1019.883,0.006656505,0,0,0.002119008,0.02119008,0.02119233,1019.883,6655.094
55,-2.16932,-0.02099864,-1048.199,0.006841313,0,0,0.002099864,0.02099864,0.02100085,1048.198,6839.876
56,-2.186,-0.02114221,-1077.075,0.007029781,0,0,0.002114221,0.02114221,0.02114445,1077.075,7028.295
57,-2.20268,-0.02130173,-1106.178,0.007219727,0,0,0.002130173,0.02130173,0.021304,1106.178,7218.189
58,-2.21908,-0.02122197,-1134.338,0.007403519,0,0,0.002122197,0.02122197,0.02122422,1134.338,7401.949
59,-2.23608,-0.02123792,-1165.161,0.007604694,0,0,0.002123792,0.02123792,0.02124017,1165.161,7603.078
60,-2.2526,-0.02106246,-1193.038,0.007786641,0,0,0.002106246,0.02106246,0.02106467,1193.038,7785.001
61,-2.26932,-0.02090294,-1222.098,0.007976305,0,0,0.002090294,0.02090294,0.02090512,1222.098,7974.637
62,-2.286199,-0.02120603,-1252.561,0.008175131,0,0,0.002120603,0.02120603,0.02120828,1252.561,8173.397
63,-2.30248,-0.02109434,-1279.47,0.008350758,0,0,0.002109434,0.02109434,0.02109657,1279.47,8348.997
64,-2.31924,-0.02099864,-1309.109,0.008544203,0,0,0.002099864,0.02099864,0.02100085,1309.109,8542.409
65,-2.3362,-0.02106246,-1338.97,0.008739099,0,0,0.002106246,0.02106246,0.02106467,1338.97,8737.258
66,-2.35252,-0.02085511,-1365.76,0.008913948,0,0,0.002085511,0.02085511,0.02085728,1365.76,8912.089
67,-2.3692,-0.02133362,-1396.097,0.009111953,0,0,0.002133362,0.02133362,0.0213359,1396.097,9110.009
68,-2.38604,-0.02128579,-1426.781,0.009312223,0,0,0.002128579,0.02128579,0.02128805,1426.781,9310.241
69,-2.40244,-0.02109434,-1454.898,0.009495732,0,0,0.002109434,0.02109434,0.02109657,1454.898,9493.729
70,-2.41936,-0.02099864,-1485.063,0.009692611,0,0,0.002099864,0.02099864,0.02100085,1485.063,9690.576
71,-2.43604,-0.02133362,-1514.059,0.009881859,0,0,0.002133362,0.02133362,0.0213359,1514.059,9879.751
72,-2.45252,-0.02099864,-1543.094,0.01007136,0,0,0.002099864,0.02099864,0.02100085,1543.094,10069.25
73,-2.46936,-0.02080724,-1573.051,0.01026688,0,0,0.002080724,0.02080724,0.0208094,1573.051,10264.75
74,-2.48576,-0.02133362,-1601.059,0.01044969,0,0,0.002133362,0.02133362,0.0213359,1601.059,10447.46
75,-2.50256,-0.02131768,-1630.601,0.0106425,0,0,0.002131768,0.02131768,0.02131995,1630.601,10640.23
76,-2.5196,-0.02163671,-1661.162,0.01084196,0,0,0.002163671,0.02163671,0.02163905,1661.162,10839.62
77,-2.535959,-0.02147719,-1690.475,0.01103328,0,0,0.002147719,0.02147719,0.0214795,1690.474,11030.91
78,-2.55256,-0.02125386,-1720.505,0.01122928,0,0,0.002125386,0.02125386,0.02125612,1720.505,11226.89
79,-2.56944,-0.02122197,-1750.724,0.01142651,0,0,0.002122197,0.02122197,0.02122422,1750.724,11424.08
80,-2.5858,-0.02126981,-1780.299,0.01161954,0,0,0.002126981,0.02126981,0.02127207,1780.299,11617.07
81,-2.6026,-0.02112627,-1810.173,0.01181452,0,0,0.002112627,0.02112627,0.0211285,1810.173,11812.02
82,-2.619319,-0.02130173,-1839.35,0.01200495,0,0,0.002130173,0.02130173,0.021304,1839.35,12002.39
83,-2.635919,-0.02126981,-1870.331,0.01220715,0,0,0.002126981,0.02126981,0.02127207,1870.331,12204.55
84,-2.652839,-0.02133362,-1900.393,0.01240336,0,0,0.002133362,0.02133362,0.0213359,1900.393,12400.71
85,-2.669279,-0.02123792,-1928.768,0.01258855,0,0,0.002123792,0.02123792,0.02124017,1928.768,12585.88
86,-2.68612,-0.02111033,-1959.76,0.01279083,0,0,0.002111033,0.02111033,0.02111255,1959.76,12788.13
87,-2.702959,-0.02114221,-1991.654,0.012999,0,0,0.002114221,0.02114221,0.02114445,1991.654,12996.25
88,-2.719079,-0.02128579,-2021.028,0.01319071,0,0,0.002128579,0.02128579,0.02128805,2021.028,13187.9
89,-2.735959,-0.02123792,-2053.634,0.01340352,0,0,0.002123792,0.02123792,0.02124017,2053.635,13400.68
90,-2.752759,-0.02119008,-2085.542,0.01361177,0,0,0.002119008,0.02119008,0.02119233,2085.542,13608.89
91,-2.76908,-0.02093486,-2115.692,0.01380856,0,0,0.002093486,0.02093486,0.02093706,2115.692,13805.67
92,-2.78596,-0.0209827,-2147.751,0.0140178,0,0,0.00209827,0.0209827,0.0209849,2147.75,14014.85
93,-2.802559,-0.02093486,-2179.093,0.01422236,0,0,0.002093486,0.02093486,0.02093706,2179.093,14219.38
94,-2.819239,-0.02120603,-2210.471,0.01442716,0,0,0.002120603,0.02120603,0.02120828,2210.471,14424.1
95,-2.83624,-0.02120603,-2243.465,0.0146425,0,0,0.002120603,0.02120603,0.02120828,2243.465,14639.39
96,-2.852599,-0.02077535,-2273.981,0.01484167,0,0,0.002077535,0.02077535,0.02077751,2273.981,14838.59
97,-2.86936,-0.0210784,-2306.779,0.01505573,0,0,0.00210784,0.0210784,0.02108062,2306.779,15052.56
98,-2.886319,-0.02138149,-2340.491,0.01527576,0,0,0.002138149,0.02138149,0.02138378,2340.49,15272.49
99,-2.9026,-0.02106246,-2371.061,0.01547528,0,0,0.002106246,0.02106246,0.02106467,2371.061,15472.02
100,-2.919479,-0.02106246,-2405.041,0.01569706,0,0,0.002106246,0.02106246,0.02106467,2405.041,15693.76
101,-2.93604,-0.02147719,-2436.887,0.01590491,0,0,0.002147719,0.02147719,0.0214795,2436.887,15901.5
102,-2.95252,-0.02123792,-2468.343,0.01611022,0,0,0.002123792,0.02123792,0.02124017,2468.344,16106.8
103,-2.96948,-0.02150908,-2502.174,0.01633102,0,0,0.002150908,0.02150908,0.0215114,2502.174,16327.51
104,-2.986119,-0.02087105,-2532.887,0.01653148,0,0,0.002087105,0.02087105,0.02087323,2532.887,16528.03
105,-3.00284,-0.02109434,-2565.009,0.01674113,0,0,0.002109434,0.02109434,0.02109657,2565.009,16737.6
106,-3.01956,-0.02096675,-2597.619,0.01695397,0,0,0.002096675,0.02096675,0.02096895,2597.619,16950.41
107,-3.035879,-0.02115816,-2628.618,0.01715629,0,0,0.002115816,0.02115816,0.0211604,2628.618,17152.66
108,-3.052719,-0.02141338,-2662.533,0.01737764,0,0,0.002141338,0.02141338,0.02141567,2662.532,17373.92
109,-3.06924,-0.02158884,-2694.401,0.01758564,0,0,0.002158884,0.02158884,0.02159117,2694.401,17581.84
110,-3.085879,-0.02122197,-2727.812,0.0178037,0,0,0.002122197,0.02122197,0.02122422,2727.812,17799.93
111,-3.102719,-0.02122197,-2760.108,0.01801449,0,0,0.002122197,0.02122197,0.02122422,2760.108,18010.67
112,-3.119319,-0.02109434,-2790.906,0.0182155,0,0,0.002109434,0.02109434,0.02109657,2790.906,18211.66
113,-3.135999,-0.02104651,-2823.663,0.01842929,0,0,0.002104651,0.02104651,0.02104873,2823.663,18425.42
114,-3.152839,-0.02122197,-2856.341,0.01864258,0,0,0.002122197,0.02122197,0.02122422,2856.341,18638.62
115,-3.1692,-0.02093486,-2887.282,0.01884452,0,0,0.002093486,0.02093486,0.02093706,2887.282,18840.58
116,-3.186119,-0.02103057,-2921.864,0.01907023,0,0,0.002103057,0.02103057,0.02103278,2921.864,19066.22
117,-3.202799,-0.02115816,-2953.523,0.01927686,0,0,0.002115816,0.02115816,0.0211604,2953.523,19272.78
118,-3.219199,-0.02095081,-2984.693,0.0194803,0,0,0.002095081,0.02095081,0.020953,2984.693,19476.22
