"Test Type","Compression"
"Method Name:","C:\INSTRON\USER\TEMPLATE\Andyscomp.mtB"
"Name:","Transnet Compression Tests"
"Operator ID:","AndyS"
"Company:","IRL"
"Lab name:","Rm 3.09"
"Test date:","26/08/08"
"Temperature:","20.5"
"Humidity:","57.5"
"Note 1:","Plastic Telegraph Pole Breast and Heel Plate Tests"
"Note 2:",""
"Note 3:",""
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","C1"
"Width:",341.000000,"mm"
"Thickness:",886.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",302126.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Comment:","Transnet Large Rectangular Sample"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
0,-3.999999e-005,-0.005637668,-10.63455,3.519907e-005,0,0,0.0005637669,0.005637668,0.005637827,10.63455,35.19709
1,-0.01632,-0.006036423,-17.69626,5.857245e-005,0,0,0.0006036423,0.006036423,0.006036605,17.69626,58.56892
2,-0.03331999,-0.006052405,-34.84541,0.000115334,0,0,0.0006052405,0.006052405,0.006052588,34.84541,115.3271
3,-0.04999999,-0.005813129,-51.97249,0.0001720226,0,0,0.0005813129,0.005813129,0.005813298,51.97248,172.0126
4,-0.06671999,-0.005621687,-69.57173,0.0002302739,0,0,0.0005621687,0.005621687,0.005621845,69.57173,230.2609
5,-0.08331998,-0.005924776,-87.68724,0.000290234,0,0,0.0005924776,0.005924776,0.005924952,87.68724,290.2168
6,-0.10008,-0.006036423,-105.2786,0.0003484594,0,0,0.0006036423,0.006036423,0.006036605,105.2786,348.4384
7,-0.11668,-0.006100237,-122.2113,0.0004045043,0,0,0.0006100237,0.006100237,0.006100423,122.2113,404.4797
8,-0.13336,-0.005781204,-140.0466,0.000463537,0,0,0.0005781204,0.005781204,0.005781371,140.0466,463.5102
9,-0.15,-0.005876906,-157.3353,0.0005207605,0,0,0.0005876906,0.005876906,0.005877079,157.3353,520.7299
10,-0.16668,-0.005876906,-176.0695,0.0005827683,0,0,0.0005876906,0.005876906,0.005877079,176.0695,582.734
11,-0.18332,-0.005541965,-194.1609,0.0006426487,0,0,0.0005541965,0.005541965,0.005542119,194.1609,642.6131
12,-0.2,-0.006084293,-213.4055,0.0007063461,0,0,0.0006084293,0.006084293,0.006084478,213.4055,706.3032
13,-0.21668,-0.005876906,-232.8641,0.0007707517,0,0,0.0005876906,0.005876906,0.005877079,232.8641,770.7064
14,-0.2334,-0.005781204,-252.5399,0.0008358762,0,0,0.0005781204,0.005781204,0.005781371,252.5399,835.8278
15,-0.2500399,-0.005605742,-271.4868,0.000898588,0,0,0.0005605742,0.005605742,0.0056059,271.4868,898.5376
16,-0.26672,-0.00594072,-291.5903,0.0009651279,0,0,0.000594072,0.00594072,0.005940897,291.5902,965.0706
17,-0.28336,-0.00598859,-305.0753,0.001009762,0,0,0.000598859,0.00598859,0.00598877,305.0753,1009.701
18,-0.30004,-0.005446225,-307.1782,0.001016722,0,0,0.0005446225,0.005446225,0.005446374,307.1782,1016.667
19,-0.3166799,-0.005621687,-310.3336,0.001027166,0,0,0.0005621687,0.005621687,0.005621845,310.3336,1027.108
20,-0.33336,-0.006275699,-310.449,0.001027548,0,0,0.0006275699,0.006275699,0.006275895,310.449,1027.484
21,-0.3499599,-0.006179996,-310.5492,0.00102788,0,0,0.0006179996,0.006179996,0.006180187,310.5492,1027.816
22,-0.3667199,-0.005605742,-310.6582,0.001028241,0,0,0.0005605742,0.005605742,0.0056059,310.6582,1028.183
23,-0.3833999,-0.006164052,-310.6553,0.001028231,0,0,0.0006164052,0.006164052,0.006164242,310.6553,1028.167
24,-0.40008,-0.005685501,-311.1472,0.001029859,0,0,0.0005685501,0.005685501,0.005685662,311.1472,1029.801
25,-0.4166799,-0.005956665,-311.8019,0.001032026,0,0,0.0005956665,0.005956665,0.005956842,311.8018,1031.964
26,-0.43336,-0.005845018,-311.6525,0.001031532,0,0,0.0005845018,0.005845018,0.005845189,311.6526,1031.471
27,-0.4499999,-0.00598859,-311.8645,0.001032233,0,0,0.000598859,0.00598859,0.00598877,311.8645,1032.171
28,-0.4667199,-0.006004535,-312.0272,0.001032772,0,0,0.0006004535,0.006004535,0.006004715,312.0272,1032.71
29,-0.4833199,-0.006211884,-312.0182,0.001032742,0,0,0.0006211884,0.006211884,0.006212077,312.0182,1032.678
30,-0.5000799,-0.005860962,-312.2882,0.001033636,0,0,0.0005860962,0.005860962,0.005861134,312.2882,1033.575
31,-0.5167199,-0.00598859,-312.4413,0.001034142,0,0,0.000598859,0.00598859,0.00598877,312.4413,1034.08
32,-0.5333999,-0.005876906,-312.4549,0.001034188,0,0,0.0005876906,0.005876906,0.005877079,312.4549,1034.127
33,-0.5500399,-0.006307624,-312.2238,0.001033422,0,0,0.0006307624,0.006307624,0.006307823,312.2238,1033.357
34,-0.5667199,-0.005924776,-313.6327,0.001038086,0,0,0.0005924776,0.005924776,0.005924952,313.6327,1038.024
35,-0.5833599,-0.006546862,-316.8439,0.001048715,0,0,0.0006546862,0.006546862,0.006547077,316.8439,1048.646
36,-0.6000399,-0.006275699,-329.6526,0.00109111,0,0,0.0006275699,0.006275699,0.006275895,329.6526,1091.041
37,-0.6166399,-0.005908832,-351.6165,0.001163807,0,0,0.0005908832,0.005908832,0.005909006,351.6165,1163.739
38,-0.6333999,-0.006275699,-373.5557,0.001236424,0,0,0.0006275699,0.006275699,0.006275895,373.5557,1236.346
39,-0.6500399,-0.005956665,-396.9559,0.001313875,0,0,0.0005956665,0.005956665,0.005956842,396.9559,1313.797
40,-0.6667199,-0.006307624,-420.1843,0.001390758,0,0,0.0006307624,0.006307624,0.006307823,420.1843,1390.671
41,-0.6833199,-0.006068349,-444.3909,0.001470879,0,0,0.0006068349,0.006068349,0.006068533,444.3909,1470.79
42,-0.7000399,-0.006084293,-468.8447,0.001551819,0,0,0.0006084293,0.006084293,0.006084478,468.8447,1551.724
43,-0.7167199,-0.006483085,-493.5783,0.001633684,0,0,0.0006483085,0.006483085,0.006483296,493.5783,1633.578
44,-0.7333999,-0.006307624,-518.593,0.001716479,0,0,0.0006307624,0.006307624,0.006307823,518.593,1716.371
45,-0.7499999,-0.006148107,-544.3297,0.001801665,0,0,0.0006148107,0.006148107,0.006148296,544.3297,1801.554
46,-0.7667199,-0.006052405,-570.2948,0.001887606,0,0,0.0006052405,0.006052405,0.006052588,570.2948,1887.492
47,-0.7833999,-0.006355457,-596.2066,0.001973371,0,0,0.0006355457,0.006355457,0.006355659,596.2066,1973.245
48,-0.8000399,-0.006148107,-622.4516,0.002060239,0,0,0.0006148107,0.006148107,0.006148296,622.4517,2060.112
49,-0.8167198,-0.006148107,-652.2075,0.002158727,0,0,0.0006148107,0.006148107,0.006148296,652.2075,2158.594
50,-0.8333998,-0.006387345,-680.0384,0.002250844,0,0,0.0006387345,0.006387345,0.006387549,680.0385,2250.7
51,-0.8499999,-0.006084293,-708.6209,0.002345448,0,0,0.0006084293,0.006084293,0.006084478,708.6209,2345.306
52,-0.8666798,-0.006004535,-738.2168,0.002443407,0,0,0.0006004535,0.006004535,0.006004715,738.2168,2443.26
53,-0.8833199,-0.006435215,-769.0944,0.002545608,0,0,0.0006435215,0.006435215,0.006435423,769.0944,2545.444
54,-0.9000399,-0.006179996,-799.724,0.002646988,0,0,0.0006179996,0.006179996,0.006180187,799.724,2646.825
55,-0.9167599,-0.006068349,-831.4353,0.002751949,0,0,0.0006068349,0.006068349,0.006068533,831.4354,2751.782
56,-0.9333999,-0.006211884,-862.2155,0.002853827,0,0,0.0006211884,0.006211884,0.006212077,862.2155,2853.65
57,-0.9500398,-0.006371401,-892.3364,0.002953524,0,0,0.0006371401,0.006371401,0.006371604,892.3364,2953.336
58,-0.9666399,-0.006164052,-922.9154,0.003054737,0,0,0.0006164052,0.006164052,0.006164242,922.9154,3054.549
59,-0.9833198,-0.006068349,-953.9855,0.003157575,0,0,0.0006068349,0.006068349,0.006068533,953.9855,3157.383
60,-1.00004,-0.005908832,-985.6855,0.003262498,0,0,0.0005908832,0.005908832,0.005909006,985.6855,3262.305
61,-1.01672,-0.006179996,-1017.326,0.003367223,0,0,0.0006179996,0.006179996,0.006180187,1017.326,3367.015
62,-1.0334,-0.006164052,-1048.469,0.003470304,0,0,0.0006164052,0.006164052,0.006164242,1048.469,3470.09
63,-1.05004,-0.006227866,-1079.959,0.003574533,0,0,0.0006227866,0.006227866,0.00622806,1079.959,3574.31
64,-1.06672,-0.006371401,-1112.656,0.003682755,0,0,0.0006371401,0.006371401,0.006371604,1112.656,3682.521
65,-1.0834,-0.005892888,-1144.345,0.003787642,0,0,0.0005892888,0.005892888,0.005893061,1144.345,3787.418
66,-1.10008,-0.006148107,-1179.341,0.003903475,0,0,0.0006148107,0.006148107,0.006148296,1179.341,3903.235
67,-1.11672,-0.00619594,-1219.974,0.004037966,0,0,0.000619594,0.00619594,0.006196132,1219.974,4037.716
68,-1.13336,-0.005956665,-1260.682,0.004172704,0,0,0.0005956665,0.005956665,0.005956842,1260.682,4172.456
69,-1.15,-0.006100237,-1303.223,0.004313508,0,0,0.0006100237,0.006100237,0.006100423,1303.223,4313.245
70,-1.16668,-0.006084293,-1346.095,0.00445541,0,0,0.0006084293,0.006084293,0.006084478,1346.095,4455.139
71,-1.1834,-0.006068349,-1389.041,0.004597554,0,0,0.0006068349,0.006068349,0.006068533,1389.041,4597.275
72,-1.20008,-0.00645116,-1434.075,0.004746612,0,0,0.000645116,0.00645116,0.006451368,1434.075,4746.306
73,-1.21672,-0.006227866,-1482.38,0.004906495,0,0,0.0006227866,0.006227866,0.00622806,1482.38,4906.189
74,-1.2334,-0.006403327,-1530.933,0.005067201,0,0,0.0006403327,0.006403327,0.006403532,1530.933,5066.877
75,-1.25,-0.005972646,-1579.841,0.005229079,0,0,0.0005972646,0.005972646,0.005972824,1579.841,5228.767
76,-1.26664,-0.006036423,-1630.465,0.005396639,0,0,0.0006036423,0.006036423,0.006036605,1630.465,5396.314
77,-1.28336,-0.00624381,-1681.585,0.005565841,0,0,0.000624381,0.00624381,0.006244005,1681.585,5565.493
78,-1.3,-0.006371401,-1733.739,0.005738465,0,0,0.0006371401,0.006371401,0.006371604,1733.739,5738.099
79,-1.31672,-0.006403327,-1787.644,0.005916883,0,0,0.0006403327,0.006403327,0.006403532,1787.644,5916.504
80,-1.3334,-0.006355457,-1842.62,0.006098846,0,0,0.0006355457,0.006355457,0.006355659,1842.62,6098.458
