"Disp (mm) " "Load (kN)" "d (raw)" "f (raw)"
0 0 0 0.12
0.0162 0.0059 0.0162 0.1222
0.0333 0.0264 0.0333 0.1427
0.0500 0.0437 0.0500 0.1600
0.0667 0.0598 0.0667 0.1761
0.0834 0.0740 0.0834 0.1903
0.1000 0.0870 0.1000 0.2033
0.1166 0.0970 0.1166 0.2133
0.1334 0.1102 0.1334 0.2265
0.1500 0.1247 0.1500 0.2410
0.1667 0.1383 0.1667 0.2546
0.1834 0.1523 0.1834 0.2687
0.2001 0.1671 0.2001 0.2834
0.2167 0.1798 0.2167 0.2962
0.2333 0.1911 0.2333 0.3074
0.2500 0.2015 0.2500 0.3179
0.2667 0.2089 0.2667 0.3252
0.2833 0.2122 0.2833 0.3285
0.3000 0.2131 0.3000 0.3295
0.3167 0.2133 0.3167 0.3296
0.3334 0.2139 0.3334 0.3302
0.3500 0.2145 0.3500 0.3309
0.3667 0.2147 0.3667 0.3310
0.3833 0.2142 0.3833 0.3306
0.4000 0.2139 0.4000 0.3302
0.4166 0.2132 0.4166 0.3296
0.4334 0.2121 0.4334 0.3284
0.4500 0.2118 0.4500 0.3281
0.4668 0.2120 0.4668 0.3283
0.4834 0.2130 0.4834 0.3293
0.5000 0.2160 0.5000 0.3323
0.5166 0.2188 0.5166 0.3351
0.5333 0.2339 0.5333 0.3502
0.5500 0.2520 0.5500 0.3683
0.5667 0.2690 0.5667 0.3853
0.5834 0.2820 0.5834 0.3983
0.6000 0.2960 0.6000 0.4123
0.6167 0.3111 0.6167 0.4274
0.6334 0.3271 0.6334 0.4434
0.6500 0.3449 0.6500 0.4613
0.6667 0.3624 0.6667 0.4788
0.6833 0.3794 0.6833 0.4957
0.7000 0.3962 0.7000 0.5125
0.7167 0.4152 0.7167 0.5315
0.7334 0.4335 0.7334 0.5498
0.7500 0.4530 0.7500 0.5693
0.7667 0.4708 0.7667 0.5871
0.7834 0.4899 0.7834 0.6063
0.8000 0.5105 0.8000 0.6269
0.8166 0.5319 0.8166 0.6482
0.8334 0.5526 0.8334 0.6689
0.8500 0.5744 0.8500 0.6907
0.8667 0.5958 0.8667 0.7121
0.8834 0.6178 0.8834 0.7341
0.9000 0.6419 0.9000 0.7582
0.9167 0.6640 0.9167 0.7803
0.9333 0.6887 0.9333 0.8050
0.9500 0.7124 0.9500 0.8287
0.9667 0.7376 0.9667 0.8539
0.9834 0.7626 0.9834 0.8789
1.0000 0.7874 1.0000 0.9037
1.0167 0.8122 1.0167 0.9285
1.0334 0.8383 1.0334 0.9546
1.0500 0.8640 1.0500 0.9804
1.0667 0.8904 1.0667 1.0068
1.0834 0.9175 1.0834 1.0339
1.1000 0.9454 1.1000 1.0618
1.1167 0.9728 1.1167 1.0891
1.1334 1.0008 1.1334 1.1171
1.1500 1.0290 1.1500 1.1453
1.1667 1.0576 1.1667 1.1739
1.1833 1.0856 1.1833 1.2020
1.2000 1.1135 1.2000 1.2298
1.2167 1.1410 1.2167 1.2573
1.2334 1.1690 1.2334 1.2854
1.2501 1.1976 1.2501 1.3139
1.2667 1.2255 1.2667 1.3418
1.2834 1.2534 1.2834 1.3697
1.3000 1.2820 1.3000 1.3983
1.3167 1.3107 1.3167 1.4271
1.3333 1.3391 1.3333 1.4554
1.3500 1.3688 1.3500 1.4851
1.3667 1.3975 1.3667 1.5138
1.3834 1.4265 1.3834 1.5429
1.4000 1.4547 1.4000 1.5710
1.4167 1.4846 1.4167 1.6010
1.4334 1.5157 1.4334 1.6320
1.4500 1.5469 1.4500 1.6633
1.4667 1.5788 1.4667 1.6952
1.4834 1.6128 1.4834 1.7291
1.5000 1.6446 1.5000 1.7609
1.5167 1.6787 1.5167 1.7950
1.5334 1.7117 1.5334 1.8281
1.5500 1.7443 1.5500 1.8606
1.5667 1.7781 1.5667 1.8944
1.5834 1.8108 1.5834 1.9271
1.6000 1.8448 1.6000 1.9611
1.6167 1.8785 1.6167 1.9948
1.6333 1.9121 1.6333 2.0284
1.6500 1.9462 1.6500 2.0626
1.6667 1.9795 1.6667 2.0959
1.6834 2.0135 1.6834 2.1298
1.7000 2.0472 1.7000 2.1635
1.7167 2.0815 1.7167 2.1979
1.7333 2.1134 1.7333 2.2298
1.7500 2.1486 1.7500 2.2649
1.7667 2.1824 1.7667 2.2987
1.7834 2.2167 1.7834 2.3330
1.8000 2.2512 1.8000 2.3675
1.8166 2.2861 1.8166 2.4024
1.8333 2.3211 1.8333 2.4374
1.8500 2.3569 1.8500 2.4732
1.8666 2.3935 1.8666 2.5098
1.8834 2.4298 1.8834 2.5461
1.9000 2.4661 1.9000 2.5825
1.9167 2.5036 1.9167 2.6199
1.9334 2.5412 1.9334 2.6575
1.9501 2.5784 1.9501 2.6947
1.9667 2.6163 1.9667 2.7327
1.9834 2.6551 1.9834 2.7714
2.0000 2.6925 2.0000 2.8089
2.0167 2.7319 2.0167 2.8482
2.0333 2.7698 2.0333 2.8861
2.0501 2.8073 2.0501 2.9236
2.0667 2.8456 2.0667 2.9620
2.0834 2.8827 2.0834 2.9990
2.1000 2.9200 2.1000 3.0363
2.1167 2.9587 2.1167 3.0751
2.1334 2.9973 2.1334 3.1136
2.1500 3.0350 2.1500 3.1513
2.1666 3.0735 2.1666 3.1898
2.1834 3.1103 2.1834 3.2266
2.2000 3.1486 2.2000 3.2649
2.2167 3.1858 2.2167 3.3021
2.2334 3.2236 2.2334 3.3399
2.2500 3.2613 2.2500 3.3777
2.2667 3.2988 2.2667 3.4151
2.2834 3.3369 2.2834 3.4533
2.3000 3.3760 2.3000 3.4923
2.3167 3.4153 2.3167 3.5317
2.3334 3.4543 2.3334 3.5706
2.3501 3.4933 2.3501 3.6097
2.3667 3.5313 2.3667 3.6476
2.3834 3.5703 2.3834 3.6867
2.4001 3.6092 2.4001 3.7255
2.4167 3.6461 2.4167 3.7624
2.4334 3.6861 2.4334 3.8024
2.4500 3.7240 2.4500 3.8403
2.4667 3.7634 2.4667 3.8797
2.4834 3.8032 2.4834 3.9195
2.5000 3.8417 2.5000 3.9581
2.5167 3.8813 2.5167 3.9977
2.5334 3.9203 2.5334 4.0366
2.5500 3.9576 2.5500 4.0739
2.5667 3.9974 2.5667 4.1138
2.5834 4.0357 2.5834 4.1520
2.6000 4.0754 2.6000 4.1917
2.6167 4.1154 2.6167 4.2317
2.6334 4.1544 2.6334 4.2707
2.6500 4.1955 2.6500 4.3118
2.6667 4.2353 2.6667 4.3516
2.6833 4.2749 2.6833 4.3912
2.7000 4.3154 2.7000 4.4318
2.7167 4.3537 2.7167 4.4700
2.7334 4.3937 2.7334 4.5100
2.7500 4.4324 2.7500 4.5487
2.7667 4.4715 2.7667 4.5878
2.7833 4.5130 2.7833 4.6293
2.8000 4.5538 2.8000 4.6701
2.8166 4.5952 2.8166 4.7116
2.8333 4.6373 2.8333 4.7537
2.8500 4.6800 2.8500 4.7964
2.8667 4.7213 2.8667 4.8377
2.8834 4.7633 2.8834 4.8797
2.9001 4.8039 2.9001 4.9203
2.9167 4.8450 2.9167 4.9613
2.9333 4.8876 2.9333 5.0039
2.9500 4.9302 2.9500 5.0465
2.9667 4.9740 2.9667 5.0903
2.9834 5.0169 2.9834 5.1332
3.0000 5.0601 3.0000 5.1765
3.0167 5.1035 3.0167 5.2198
3.0334 5.1460 3.0334 5.2623
3.0500 5.1883 3.0500 5.3047
3.0667 5.2322 3.0667 5.3486
3.0834 5.2751 3.0834 5.3915
3.1000 5.3183 3.1000 5.4347
3.1166 5.3616 3.1166 5.4779
3.1334 5.4061 3.1334 5.5224
3.1500 5.4504 3.1500 5.5667
3.1667 5.4942 3.1667 5.6105
3.1833 5.5375 3.1833 5.6539
3.2000 5.5819 3.2000 5.6982
3.2167 5.6239 3.2167 5.7403
3.2334 5.6686 3.2334 5.7850
3.2500 5.7129 3.2500 5.8292
3.2667 5.7569 3.2667 5.8732
3.2834 5.8015 3.2834 5.9179
3.3000 5.8465 3.3000 5.9628
3.3166 5.8898 3.3166 6.0062
3.3333 5.9353 3.3333 6.0517
3.3500 5.9791 3.3500 6.0954
3.3667 6.0245 3.3667 6.1408
3.3833 6.0692 3.3833 6.1855
3.4001 6.1139 3.4001 6.2302
3.4167 6.1583 3.4167 6.2746
3.4334 6.2035 3.4334 6.3198
3.4500 6.2476 3.4500 6.3640
3.4667 6.2931 3.4667 6.4095
3.4834 6.3394 3.4834 6.4558
3.5000 6.3841 3.5000 6.5004
3.5167 6.4298 3.5167 6.5461
3.5334 6.4755 3.5334 6.5919
3.5500 6.5190 3.5500 6.6353
3.5667 6.5645 3.5667 6.6809
3.5834 6.6086 3.5834 6.7250
3.6000 6.6545 3.6000 6.7709
3.6167 6.7015 3.6167 6.8179
3.6333 6.7463 3.6333 6.8627
3.6500 6.7939 3.6500 6.9102
3.6667 6.8411 3.6667 6.9575
3.6834 6.8859 3.6834 7.0022
3.7001 6.9322 3.7001 7.0485
3.7167 6.9761 3.7167 7.0924
3.7334 7.0218 3.7334 7.1381
3.7500 7.0667 3.7500 7.1830
3.7667 7.1130 3.7667 7.2294
3.7833 7.1582 3.7833 7.2746
3.8001 7.2055 3.8001 7.3218
3.8167 7.2498 3.8167 7.3662
3.8334 7.2974 3.8334 7.4137
3.8500 7.3426 3.8500 7.4589
3.8667 7.3879 3.8667 7.5042
3.8834 7.4338 3.8834 7.5501
3.9000 7.4775 3.9000 7.5938
3.9166 7.5231 3.9166 7.6394
3.9334 7.5708 3.9334 7.6871
3.9500 7.6166 3.9500 7.7330
3.9667 7.6634 3.9667 7.7797
3.9834 7.7095 3.9834 7.8258
4.0000 7.7547 4.0000 7.8710
4.0167 7.8008 4.0167 7.9171
4.0334 7.8462 4.0334 7.9625
4.0500 7.8906 4.0500 8.0070
4.0667 7.9377 4.0667 8.0540
4.0834 7.9817 4.0834 8.0980
4.1000 8.0272 4.1000 8.1435
4.1167 8.0727 4.1167 8.1891
4.1334 8.1190 4.1334 8.2354
4.1500 8.1642 4.1500 8.2806
4.1667 8.2090 4.1667 8.3254
4.1834 8.2534 4.1834 8.3697
4.2000 8.2997 4.2000 8.4161
4.2167 8.3436 4.2167 8.4599
4.2334 8.3879 4.2334 8.5042
4.2500 8.4321 4.2500 8.5484
4.2667 8.4763 4.2667 8.5926
4.2833 8.5211 4.2833 8.6374
4.3000 8.5660 4.3000 8.6824
4.3167 8.6108 4.3167 8.7271
4.3334 8.6574 4.3334 8.7737
4.3501 8.7011 4.3501 8.8174
4.3667 8.7467 4.3667 8.8630
4.3834 8.7906 4.3834 8.9069
4.4000 8.8344 4.4000 8.9508
4.4166 8.8775 4.4166 8.9939
4.4333 8.9226 4.4333 9.0389
4.4500 8.9666 4.4500 9.0830
4.4667 9.0122 4.4667 9.1285
4.4834 9.0576 4.4834 9.1739
4.5000 9.1023 4.5000 9.2187
4.5167 9.1474 4.5167 9.2637
4.5334 9.1916 4.5334 9.3079
4.5500 9.2359 4.5500 9.3522
4.5667 9.2807 4.5667 9.3971
4.5834 9.3241 4.5834 9.4404
4.6000 9.3684 4.6000 9.4847
4.6167 9.4136 4.6167 9.5299
4.6334 9.4585 4.6334 9.5748
4.6501 9.5029 4.6501 9.6192
4.6667 9.5454 4.6667 9.6617
4.6833 9.5890 4.6833 9.7054
4.7000 9.6330 4.7000 9.7493
4.7167 9.6770 4.7167 9.7933
4.7334 9.7217 4.7334 9.8381
4.7501 9.7667 4.7501 9.8830
4.7667 9.8093 4.7667 9.9257
4.7834 9.8538 4.7834 9.9701
4.8000 9.8989 4.8000 10.0152
4.8167 9.9425 4.8167 10.0589
4.8333 9.9866 4.8333 10.1029
4.8500 10.0317 4.8500 10.1481
4.8667 10.0753 4.8667 10.1916
4.8834 10.1184 4.8834 10.2347
4.9000 10.1598 4.9000 10.2762
4.9167 10.2020 4.9167 10.3183
4.9333 10.2458 4.9333 10.3621
4.9500 10.2887 4.9500 10.4050
4.9666 10.3337 4.9666 10.4500
4.9834 10.3783 4.9834 10.4946
5.0000 10.4207 5.0000 10.5370
5.0168 10.4637 5.0168 10.5801
5.0334 10.5044 5.0334 10.6208
5.0500 10.5436 5.0500 10.6599
5.0667 10.5832 5.0667 10.6995
5.0834 10.6213 5.0834 10.7376
5.1000 10.6596 5.1000 10.7760
5.1167 10.6976 5.1167 10.8140
5.1333 10.7340 5.1333 10.8504
5.1500 10.7714 5.1500 10.8878
5.1667 10.8068 5.1667 10.9231
5.1834 10.8435 5.1834 10.9598
5.2000 10.8808 5.2000 10.9972
5.2167 10.9165 5.2167 11.0329
5.2333 10.9544 5.2333 11.0707
5.2500 10.9933 5.2500 11.1096
5.2666 11.0313 5.2666 11.1476
5.2834 11.0742 5.2834 11.1905
5.3000 11.1228 5.3000 11.2391
5.3167 11.1743 5.3167 11.2906
5.3334 11.2283 5.3334 11.3447
5.3500 11.2817 5.3500 11.3980
5.3666 11.3341 5.3666 11.4504
5.3834 11.3884 5.3834 11.5048
5.4000 11.4415 5.4000 11.5579
5.4167 11.4953 5.4167 11.6116
5.4334 11.5513 5.4334 11.6676
5.4501 11.6057 5.4501 11.7221
5.4667 11.6616 5.4667 11.7779
5.4834 11.7172 5.4834 11.8335
5.5000 11.7721 5.5000 11.8884
5.5167 11.8309 5.5167 11.9473
5.5333 11.8879 5.5333 12.0042
5.5500 11.9472 5.5500 12.0636
5.5667 12.0052 5.5667 12.1215
5.5834 12.0619 5.5834 12.1783
5.6000 12.1203 5.6000 12.2366
5.6167 12.1807 5.6167 12.2971
5.6333 12.2403 5.6333 12.3566
5.6500 12.3020 5.6500 12.4184
5.6666 12.3615 5.6666 12.4779
5.6834 12.4233 5.6834 12.5396
5.7000 12.4865 5.7000 12.6028
5.7167 12.5519 5.7167 12.6683
5.7333 12.6236 5.7333 12.7399
5.7500 12.6979 5.7500 12.8142
5.7667 12.7748 5.7667 12.8912
5.7834 12.8548 5.7834 12.9711
5.8000 12.9388 5.8000 13.0552
5.8167 13.0216 5.8167 13.1379
5.8334 13.1050 5.8334 13.2214
5.8501 13.1890 5.8501 13.3054
5.8667 13.2721 5.8667 13.3885
5.8834 13.3576 5.8834 13.4740
5.9000 13.4417 5.9000 13.5580
5.9166 13.5279 5.9166 13.6443
5.9334 13.6192 5.9334 13.7355
5.9500 13.7099 5.9500 13.8263
5.9667 13.8037 5.9667 13.9200
5.9834 13.8983 5.9834 14.0147
6.0000 13.9908 6.0000 14.1071
6.0167 14.0862 6.0167 14.2026
6.0334 14.1805 6.0334 14.2969
6.0500 14.2758 6.0500 14.3922
6.0667 14.3740 6.0667 14.4903
6.0834 14.4738 6.0834 14.5901
6.1000 14.5754 6.1000 14.6917
6.1167 14.6796 6.1167 14.7959
6.1334 14.7819 6.1334 14.8982
6.1500 14.8896 6.1500 15.0060
6.1667 15.0031 6.1667 15.1195
6.1833 15.1181 6.1833 15.2344
6.2000 15.2357 6.2000 15.3520
6.2167 15.3529 6.2167 15.4692
6.2334 15.4726 6.2334 15.5889
6.2500 15.5947 6.2500 15.7111
6.2667 15.7157 6.2667 15.8320
6.2834 15.8402 6.2834 15.9565
6.3000 15.9641 6.3000 16.0805
6.3167 16.0913 6.3167 16.2076
6.3333 16.2209 6.3333 16.3372
6.3500 16.3514 6.3500 16.4677
6.3667 16.4817 6.3667 16.5980
6.3834 16.6133 6.3834 16.7296
6.4001 16.7465 6.4001 16.8628
6.4167 16.8801 6.4167 16.9965
6.4334 17.0181 6.4334 17.1345
6.4500 17.1609 6.4500 17.2773
6.4667 17.3140 6.4667 17.4303
6.4834 17.4704 6.4834 17.5867
6.5000 17.6266 6.5000 17.7429
6.5167 17.7898 6.5167 17.9062
6.5334 17.9553 6.5334 18.0716
6.5500 18.1200 6.5500 18.2363
6.5667 18.2903 6.5667 18.4066
6.5833 18.4606 6.5833 18.5769
6.6000 18.6369 6.6000 18.7533
6.6167 18.8187 6.6167 18.9351
6.6334 19.0031 6.6334 19.1194
6.6500 19.1945 6.6500 19.3109
6.6667 19.3881 6.6667 19.5044
6.6834 19.5833 6.6834 19.6996
6.7000 19.7873 6.7000 19.9037
6.7166 19.9929 6.7166 20.1093
6.7333 20.2103 6.7333 20.3267
