"Test Type","Compression"
"Temperature:","20.5"
"Humidity:","57.5"
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","E1"
"Width:",333.000000,"mm"
"Thickness:",452.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",150516.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
0,-0.4688,-0.02594352,-301.7175,0.002004554,0,0,0.002594352,0.02594352,0.02594688,301.7175,2004.034
1,-0.4851599,-0.02583187,-304.3174,0.002021827,0,0,0.002583187,0.02583187,0.02583521,304.3174,2021.305
2,-0.5020399,-0.02564047,-306.547,0.00203664,0,0,0.002564047,0.02564047,0.02564375,306.547,2036.118
3,-0.5188399,-0.02570424,-308.887,0.002052187,0,0,0.002570424,0.02570424,0.02570755,308.887,2051.66
4,-0.5354799,-0.02564047,-313.0493,0.002079841,0,0,0.002564047,0.02564047,0.02564375,313.0493,2079.307
5,-0.5521199,-0.02579994,-315.046,0.002093106,0,0,0.002579994,0.02579994,0.02580327,315.046,2092.566
6,-0.5687599,-0.02557665,-317.9113,0.002112143,0,0,0.002557665,0.02557665,0.02557992,317.9113,2111.603
7,-0.5853999,-0.02597541,-322.0008,0.002139312,0,0,0.002597541,0.02597541,0.02597878,322.0008,2138.757
8,-0.6020799,-0.0258797,-323.6609,0.002150342,0,0,0.00258797,0.0258797,0.02588305,323.6609,2149.786
9,-0.6187599,-0.02562448,-329.9854,0.002192361,0,0,0.002562448,0.02562448,0.02562777,329.9854,2191.799
10,-0.6353998,-0.02562448,-335.0023,0.002225692,0,0,0.002562448,0.02562448,0.02562777,335.0023,2225.122
11,-0.6521599,-0.02576806,-345.7857,0.002297335,0,0,0.002576806,0.02576806,0.02577138,345.7857,2296.743
12,-0.6688399,-0.025784,-366.1938,0.002432923,0,0,0.0025784,0.025784,0.02578733,366.1938,2432.295
13,-0.6855198,-0.02572019,-392.2219,0.002605848,0,0,0.002572019,0.02572019,0.02572349,392.2219,2605.178
14,-0.7021199,-0.02556071,-424.5135,0.002820387,0,0,0.002556071,0.02556071,0.02556397,424.5135,2819.667
15,-0.7187999,-0.02594352,-462.0117,0.003069519,0,0,0.002594352,0.02594352,0.02594688,462.0117,3068.723
16,-0.7354398,-0.02584781,-507.7932,0.003373682,0,0,0.002584781,0.02584781,0.02585116,507.7932,3372.811
17,-0.7521199,-0.02589568,-555.1294,0.003688175,0,0,0.002589568,0.02589568,0.02589904,555.1294,3687.22
18,-0.7687198,-0.0262785,-604.4734,0.004016008,0,0,0.00262785,0.0262785,0.02628195,604.4734,4014.952
19,-0.7854799,-0.02635825,-656.584,0.004362221,0,0,0.002635826,0.02635825,0.02636173,656.584,4361.071
20,-0.8021199,-0.02595946,-707.2184,0.004698626,0,0,0.002595946,0.02595946,0.02596283,707.2184,4697.406
21,-0.8187999,-0.02611898,-759.815,0.005048068,0,0,0.002611898,0.02611898,0.02612239,759.815,5046.75
22,-0.8354799,-0.02597541,-810.8438,0.005387094,0,0,0.002597541,0.02597541,0.02597878,810.8438,5385.694
23,-0.8521199,-0.02591163,-862.6396,0.005731215,0,0,0.002591163,0.02591163,0.02591499,862.6396,5729.73
24,-0.8687999,-0.02592757,-915.2765,0.006080925,0,0,0.002592757,0.02592757,0.02593094,915.2766,6079.349
25,-0.8854399,-0.02608709,-966.6518,0.006422253,0,0,0.002608709,0.02608709,0.02609049,966.6519,6420.578
26,-0.9020799,-0.0261509,-1020.49,0.006779946,0,0,0.002615091,0.0261509,0.02615433,1020.49,6778.173
27,-0.9187599,-0.02607115,-1073.845,0.007134427,0,0,0.002607115,0.02607115,0.02607454,1073.845,7132.567
28,-0.9354798,-0.02576806,-1127.669,0.007492018,0,0,0.002576806,0.02576806,0.02577138,1127.669,7490.087
29,-0.9521599,-0.02592757,-1182.062,0.007853396,0,0,0.002592757,0.02592757,0.02593094,1182.062,7851.36
30,-0.9688399,-0.02600733,-1237.101,0.008219067,0,0,0.002600733,0.02600733,0.02601071,1237.101,8216.93
31,-0.9854798,-0.02548095,-1292.198,0.008585118,0,0,0.002548095,0.02548095,0.0254842,1292.198,8582.93
32,-1.00212,-0.02613492,-1347.316,0.008951314,0,0,0.002613492,0.02613492,0.02613834,1347.316,8948.974
33,-1.0188,-0.02597541,-1403.255,0.009322965,0,0,0.002597541,0.02597541,0.02597878,1403.255,9320.543
34,-1.03544,-0.02573617,-1459.367,0.009695761,0,0,0.002573617,0.02573617,0.02573948,1459.367,9693.265
35,-1.05216,-0.0256883,-1517.621,0.01008279,0,0,0.00256883,0.0256883,0.0256916,1517.621,10080.2
36,-1.06884,-0.02586376,-1576.504,0.010474,0,0,0.002586376,0.02586376,0.0258671,1576.504,10471.29
37,-1.08544,-0.02557665,-1635.918,0.01086873,0,0,0.002557665,0.02557665,0.02557992,1635.918,10865.95
38,-1.10212,-0.02591163,-1698.771,0.01128632,0,0,0.002591163,0.02591163,0.02591499,1698.771,11283.39
39,-1.11876,-0.02556071,-1761.002,0.01169976,0,0,0.002556071,0.02556071,0.02556397,1761.002,11696.77
40,-1.13544,-0.02573617,-1827.296,0.01214021,0,0,0.002573617,0.02573617,0.02573948,1827.296,12137.09
41,-1.15212,-0.02592757,-1893.683,0.01258128,0,0,0.002592757,0.02592757,0.02593094,1893.683,12578.01
42,-1.16876,-0.02541713,-1962.91,0.01304121,0,0,0.002541713,0.02541713,0.02542036,1962.91,13037.89
43,-1.18544,-0.02564047,-2033.421,0.01350966,0,0,0.002564047,0.02564047,0.02564375,2033.421,13506.2
44,-1.20216,-0.02564047,-2104.948,0.01398488,0,0,0.002564047,0.02564047,0.02564375,2104.948,13981.29
