"Test Type","Compression"
"Temperature:","20.5"
"Humidity:","57.5"
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","F1"
"Width:",330.000000,"mm"
"Thickness:",897.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",296010.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
0,0,-0.02607115,-4.646094,1.569573e-005,0,0,0.002607115,0.02607115,0.02607454,4.646094,15.69164
1,-0.0162,-0.02572019,-12.61317,4.261061e-005,0,0,0.002572019,0.02572019,0.02572349,12.61317,42.59965
2,-0.03323999,-0.02586376,-67.06727,0.000226571,0,0,0.002586376,0.02586376,0.0258671,67.06727,226.5124
3,-0.04992,-0.02591163,-158.505,0.0005354719,0,0,0.002591163,0.02591163,0.02591499,158.505,535.3331
4,-0.06659999,-0.02591163,-280.9518,0.0009491296,0,0,0.002591163,0.02591163,0.02591499,280.9518,948.8836
5,-0.08327998,-0.02586376,-308.7912,0.001043178,0,0,0.002586376,0.02586376,0.0258671,308.7912,1042.909
6,-0.09995998,-0.02592757,-311.5101,0.001052363,0,0,0.002592757,0.02592757,0.02593094,311.51,1052.09
7,-0.11664,-0.02581593,-312.199,0.001054691,0,0,0.002581593,0.02581593,0.02581926,312.1989,1054.418
8,-0.13332,-0.02592757,-312.3184,0.001055094,0,0,0.002592757,0.02592757,0.02593094,312.3184,1054.821
9,-0.14996,-0.025784,-311.9996,0.001054017,0,0,0.0025784,0.025784,0.02578733,311.9996,1053.745
10,-0.16664,-0.02597541,-311.6975,0.001052996,0,0,0.002597541,0.02597541,0.02597878,311.6975,1052.723
11,-0.18328,-0.02589568,-312.885,0.001057008,0,0,0.002589568,0.02589568,0.02589904,312.885,1056.734
